profile_id,algorithm,run,fitness,time_s,target_cal,achieved_cal,cal_penalty,days_cal_ok,days_macro_ok,hard_constraints_ok,allergy_violations,dislike_violations,likes_included
2,ACO,3,2967.4500000000003,69.0019428730011,2567.85,2568.14,0.0,7,7,True,0,0,18
2,ACO,4,3039.85,72.9582941532135,2567.85,2569.14,0.0,7,7,True,0,0,17
2,ACO,5,2926.85,70.11650800704956,2567.85,2569.0,0.0,7,7,True,0,0,19
2,ACO,6,2829.4500000000003,71.39186596870422,2567.85,2570.71,0.0,7,7,True,0,0,21
2,ACO,7,2976.5499999999997,71.09590935707092,2567.85,2567.86,0.0,7,7,True,0,0,18
2,ACO,8,2794.4500000000003,69.82247996330261,2567.85,2570.0,0.0,7,7,True,0,0,22
2,ACO,9,2938.85,71.29042291641235,2567.85,2566.71,0.0,7,7,True,0,0,19
2,ACO,10,2844.15,70.84106159210205,2567.85,2566.0,0.0,7,7,True,0,0,21
2,ACO,11,3082.4500000000003,70.39152240753174,2567.85,2568.86,0.0,7,7,True,0,0,16
2,ACO,12,2904.2499999999995,70.5190327167511,2567.85,2561.29,0.0,7,7,True,0,0,20
2,ACO,13,3031.5499999999997,70.92892861366272,2567.85,2565.14,0.0,7,7,True,0,0,17
2,ACO,14,2869.2499999999995,70.93578720092773,2567.85,2565.71,0.0,7,7,True,0,0,20
2,ACO,15,2833.15,71.44515776634216,2567.85,2567.29,0.0,7,7,True,0,0,22
2,ACO,16,3109.7500000000005,70.19754958152771,2567.85,2568.14,0.0,7,7,True,0,0,15
2,ACO,17,2879.4500000000003,71.37326192855835,2567.85,2570.43,0.0,7,7,True,0,0,20
2,ACO,18,2683.2499999999995,69.48024940490723,2567.85,2564.0,0.0,7,7,True,0,0,24
2,ACO,19,2830.85,70.74741721153259,2567.85,2566.71,0.0,7,7,True,0,0,21
2,ACO,20,2977.15,70.62694764137268,2567.85,2568.14,0.0,7,7,True,0,0,18
2,ACO,21,2983.15,71.77263355255127,2567.85,2569.0,0.0,7,7,True,0,0,18
2,ACO,22,3030.15,75.59741854667664,2567.85,2566.57,0.0,7,7,True,0,0,17
2,ACO,23,2909.85,70.94175124168396,2567.85,2563.43,0.0,7,7,True,0,0,20
2,ACO,24,2932.85,70.56471991539001,2567.85,2566.43,0.0,7,7,True,0,0,19
2,ACO,25,2790.5499999999997,71.64284300804138,2567.85,2566.43,0.0,7,7,True,0,0,22
2,ACO,26,2919.85,70.27013945579529,2567.85,2566.57,0.0,7,7,True,0,0,19
2,ACO,27,2904.15,71.20942044258118,2567.85,2567.43,0.0,7,7,True,0,0,19
2,ACO,28,2751.15,70.05271244049072,2567.85,2570.14,0.0,7,7,True,0,0,23
2,ACO,29,3052.15,70.68691730499268,2567.85,2571.43,0.0,7,7,True,0,0,17
2,ACO,30,2896.85,71.88434839248657,2567.85,2566.71,0.0,7,7,True,0,0,20
3,GA,1,3104.84,8.742227554321289,3102.84,3102.29,0.0,7,7,True,0,0,15
3,GA,2,3021.4799999999996,8.711513757705688,3102.84,3105.43,0.0,7,7,True,0,0,17
3,GA,3,3153.84,9.842565298080444,3102.84,3102.43,0.0,7,7,True,0,0,14
3,GA,4,2398.84,8.774532079696655,3102.84,3096.29,0.0,7,7,True,0,0,30
3,GA,5,2817.11403712732,8.695709705352783,3102.84,3102.0,0.0,7,6,True,0,0,21
3,GA,6,2716.5200000000004,8.79633355140686,3102.84,3100.57,0.0,7,7,True,0,0,23
3,GA,7,2810.16,8.770400047302246,3102.84,3101.86,0.0,7,7,True,0,0,21
3,GA,8,2913.16,8.898566246032715,3102.84,3095.43,0.0,7,7,True,0,0,20
3,GA,9,3015.7999999999993,9.316802740097046,3102.84,3112.0,0.0,7,7,True,0,0,18
3,GA,10,2611.16,10.126381874084473,3102.84,3102.29,0.0,7,7,True,0,0,25
3,GA,11,2712.04042260285,8.801884174346924,3102.84,3102.29,0.0,7,6,True,0,0,23
3,GA,12,2915.84,9.021009922027588,3102.84,3102.71,0.0,7,7,True,0,0,19
3,GA,13,2711.84,9.012823820114136,3102.84,3102.14,0.0,7,7,True,0,0,23
3,GA,14,2855.16,9.507004976272583,3102.84,3097.71,0.0,7,7,True,0,0,21
3,GA,15,2655.7999999999993,8.933948516845703,3102.84,3103.43,0.0,7,7,True,0,0,24
3,GA,16,2713.16,9.215365171432495,3102.84,3102.57,0.0,7,7,True,0,0,23
3,GA,17,3206.16,9.463988304138184,3102.84,3102.71,0.0,7,7,True,0,0,13
3,GA,18,3214.16,9.070369243621826,3102.84,3102.71,0.0,7,7,True,0,0,13
3,GA,19,2753.7999999999993,9.01630163192749,3102.84,3103.14,0.0,7,7,True,0,0,22
3,GA,20,2887.4027192682233,8.983693838119507,3102.84,3106.14,0.0,7,6,True,0,0,20
3,GA,21,2631.16,8.984387636184692,3102.84,3103.71,0.0,7,7,True,0,0,25
3,GA,22,2910.119999999999,9.689033508300781,3102.84,3104.29,0.0,7,7,True,0,0,19
3,GA,23,2757.7999999999993,9.36507797241211,3102.84,3103.71,0.0,7,7,True,0,0,22
3,GA,24,3261.16,9.215754985809326,3102.84,3102.57,0.0,7,7,True,0,0,12
3,GA,25,2955.84,9.102726936340332,3102.84,3095.57,0.0,7,7,True,0,0,19
3,GA,26,2587.4799999999996,9.028801679611206,3102.84,3107.43,0.0,7,7,True,0,0,26
3,GA,27,2904.16,9.18363070487976,3102.84,3102.43,0.0,7,7,True,0,0,19
3,GA,28,2875.119999999999,8.98223614692688,3102.84,3106.43,0.0,7,7,True,0,0,20
3,GA,29,2571.7342954254877,9.185715675354004,3102.84,3105.86,0.0,7,6,True,0,0,27
3,GA,30,2617.4799999999996,9.330319166183472,3102.84,3101.71,0.0,7,7,True,0,0,25
3,ACO,1,2642.4799999999996,74.82993173599243,3102.84,3107.57,0.0,7,7,True,0,0,25
3,ACO,2,2601.84,73.55410838127136,3102.84,3098.43,0.0,7,7,True,0,0,27
3,ACO,3,2431.4799999999996,72.60221219062805,3102.84,3106.0,0.0,7,7,True,0,0,29
3,ACO,4,2608.4799999999996,73.61514043807983,3102.84,3105.86,0.0,7,7,True,0,0,26
3,ACO,5,2667.84,73.59651851654053,3102.84,3103.0,0.0,7,7,True,0,0,24
3,ACO,6,2525.4799999999996,72.84675288200378,3102.84,3100.86,0.0,7,7,True,0,0,27
3,ACO,7,2510.5200000000004,73.1651771068573,3102.84,3096.29,0.0,7,7,True,0,0,28
3,ACO,8,2722.16,72.85393619537354,3102.84,3097.57,0.0,7,7,True,0,0,24
3,ACO,9,2232.7999999999993,72.83209109306335,3102.84,3107.29,0.0,7,7,True,0,0,33
3,ACO,10,2428.4799999999996,72.20589256286621,3102.84,3105.57,0.0,7,7,True,0,0,29
3,ACO,11,2417.119999999999,74.12902760505676,3102.84,3105.29,0.0,7,7,True,0,0,29
3,ACO,12,2400.2000000000007,74.73856353759766,3102.84,3095.71,0.0,7,7,True,0,0,30
3,ACO,13,2440.4799999999996,73.92071270942688,3102.84,3101.29,0.0,7,7,True,0,0,29
3,ACO,14,2502.119999999999,73.19607019424438,3102.84,3110.29,0.0,7,7,True,0,0,28
3,ACO,15,2582.5200000000004,73.90912222862244,3102.84,3100.57,0.0,7,7,True,0,0,26
3,ACO,16,2495.2000000000007,72.42532753944397,3102.84,3098.71,0.0,7,7,True,0,0,28
3,ACO,17,2429.222992086683,74.20637702941895,3102.84,3101.86,0.0,7,5,True,0,0,30
3,ACO,18,2704.30913580247,72.3989691734314,3102.84,3104.71,0.0,7,6,True,0,0,24
3,ACO,19,2485.5200000000004,74.01104998588562,3102.84,3103.0,0.0,7,7,True,0,0,28
3,ACO,20,2331.5200000000004,73.65184259414673,3102.84,3100.14,0.0,7,7,True,0,0,31
3,ACO,21,2492.119999999999,73.10908770561218,3102.84,3108.86,0.0,7,7,True,0,0,28
